ticket_id,zone,date,category,priority,resolution_time_minutes,escalated
T1050,Whitefield,2026-01-12,Payment Issue,Medium,84,No
T1051,Whitefield,2026-01-12,Rider Shortage,Medium,76,No
T1052,Whitefield,2026-01-12,Rider Shortage,High,48,Yes
T1053,Whitefield,2026-01-12,Rider Shortage,Critical,70,Yes
T1054,Whitefield,2026-01-13,App Issue,Medium,27,No
T1055,Whitefield,2026-01-13,Rider Shortage,Low,70,No
T1056,Whitefield,2026-01-14,Payment Issue,Low,68,No
T1057,Whitefield,2026-01-14,Rider Shortage,Low,57,No
T1058,Whitefield,2026-01-14,Delivery Delay,Critical,53,Yes
T1059,Whitefield,2026-01-15,Rider No Show,Critical,56,Yes
T1060,Whitefield,2026-01-15,Delivery Delay,High,32,Yes
T1061,Whitefield,2026-01-15,App Issue,High,37,Yes
T1062,Whitefield,2026-01-15,Rider Shortage,Low,68,No
T1063,Whitefield,2026-01-15,Rider Shortage,High,44,Yes
T1064,Whitefield,2026-01-15,App Issue,High,72,Yes
T1065,Whitefield,2026-01-16,Rider No Show,Low,81,No
T1066,Whitefield,2026-01-16,Rider Shortage,Medium,85,No
T1067,Whitefield,2026-01-16,Payment Issue,Low,32,No
T1068,Whitefield,2026-01-16,Rider No Show,Critical,21,Yes
T1069,Whitefield,2026-01-16,Delivery Delay,High,54,Yes
T1070,Whitefield,2026-01-17,Rider No Show,Low,79,No
T1071,Whitefield,2026-01-17,App Issue,High,82,Yes
T1072,Whitefield,2026-01-17,Delivery Delay,Low,63,No
T1073,Whitefield,2026-01-17,Rider No Show,Low,66,No
T1074,Whitefield,2026-01-17,Delivery Delay,Critical,43,Yes
T1075,Whitefield,2026-01-17,Payment Issue,Low,35,No
T1076,Whitefield,2026-01-17,Payment Issue,Low,23,No
T1077,Whitefield,2026-01-18,Delivery Delay,Medium,61,No
T1078,Whitefield,2026-01-18,Payment Issue,Critical,56,Yes
T1079,Whitefield,2026-01-18,Rider Shortage,High,65,Yes
T1080,Whitefield,2026-01-18,Rider Shortage,Critical,70,Yes
T1081,Whitefield,2026-01-19,Payment Issue,Critical,84,Yes
T1082,Whitefield,2026-01-19,Rider No Show,High,34,Yes
T1083,Whitefield,2026-01-19,Rider Shortage,Critical,41,Yes
T1084,Whitefield,2026-01-19,Delivery Delay,Medium,52,No
T1085,Whitefield,2026-01-20,App Issue,High,68,Yes
T1086,Whitefield,2026-01-20,App Issue,High,38,Yes
T1087,Whitefield,2026-01-21,Payment Issue,Medium,77,No
T1088,Whitefield,2026-01-21,Rider No Show,Critical,71,Yes
T1089,Whitefield,2026-01-21,Payment Issue,Low,69,No
T1090,Whitefield,2026-01-21,Payment Issue,High,74,Yes
T1091,Whitefield,2026-01-22,Payment Issue,Low,76,No
T1092,Whitefield,2026-01-22,Payment Issue,Medium,44,No
T1093,Whitefield,2026-01-22,Payment Issue,Medium,36,No
T1094,Whitefield,2026-01-22,Payment Issue,Low,89,No
T1095,Whitefield,2026-01-23,Payment Issue,Low,43,No
T1096,Whitefield,2026-01-23,Payment Issue,Low,55,No
T1097,Whitefield,2026-01-23,Rider Shortage,Critical,56,Yes
T1098,Whitefield,2026-01-23,Rider Shortage,Medium,79,No
T1099,Whitefield,2026-01-23,App Issue,Critical,45,Yes
T1100,Whitefield,2026-01-24,Rider No Show,Critical,32,Yes
T1101,Whitefield,2026-01-24,App Issue,Low,31,No
T1102,Whitefield,2026-01-24,App Issue,Medium,52,No
T1103,Whitefield,2026-01-24,Rider Shortage,Low,28,No
T1104,Whitefield,2026-01-24,Payment Issue,Critical,70,Yes
T1105,Whitefield,2026-01-24,Rider No Show,Low,36,No
T1106,Whitefield,2026-01-24,App Issue,High,81,Yes
T1107,Whitefield,2026-01-25,Rider No Show,Critical,71,Yes
T1108,Whitefield,2026-01-25,Rider Shortage,Medium,58,No
T1109,Whitefield,2026-01-25,Payment Issue,Low,49,No
T1110,Whitefield,2026-01-25,Rider Shortage,Low,15,No
T1111,Whitefield,2026-01-26,Delivery Delay,High,84,Yes
T1112,Whitefield,2026-01-26,Rider No Show,High,51,Yes
T1113,Whitefield,2026-01-26,Payment Issue,Low,79,No
T1114,Whitefield,2026-01-26,Rider No Show,Medium,65,No
T1115,Whitefield,2026-01-26,Rider Shortage,Medium,15,No
T1116,Whitefield,2026-01-27,Rider No Show,Medium,35,No
T1117,Whitefield,2026-01-27,Payment Issue,Medium,67,No
T1118,Whitefield,2026-01-27,Rider Shortage,Medium,30,No
T1119,Whitefield,2026-01-27,Delivery Delay,Low,75,No
T1120,Whitefield,2026-01-28,App Issue,Medium,54,No
T1121,Whitefield,2026-01-28,Rider Shortage,Medium,40,No
T1122,Whitefield,2026-01-28,Rider Shortage,High,79,Yes
T1123,Whitefield,2026-01-28,Rider No Show,Critical,88,Yes
T1124,Whitefield,2026-01-28,Rider Shortage,Critical,78,Yes
T1125,Whitefield,2026-01-28,Rider No Show,Medium,57,No
T1126,Whitefield,2026-01-28,Payment Issue,High,31,Yes
T1127,Whitefield,2026-01-29,Rider Shortage,Low,73,No
T1128,Whitefield,2026-01-29,Delivery Delay,Low,37,No
T1129,Whitefield,2026-01-30,App Issue,Critical,67,Yes
T1130,Whitefield,2026-01-30,Delivery Delay,Critical,85,Yes
T1131,Whitefield,2026-01-30,Payment Issue,Low,48,No
T1132,Whitefield,2026-01-30,Payment Issue,Medium,60,No
T1133,Whitefield,2026-01-30,Delivery Delay,Medium,82,No
T1134,Whitefield,2026-01-31,Rider No Show,Critical,30,Yes
T1135,Whitefield,2026-01-31,Rider No Show,High,85,Yes
T1136,Whitefield,2026-01-31,Payment Issue,Low,33,No
T1137,Whitefield,2026-01-31,Payment Issue,High,16,Yes
T1138,Whitefield,2026-01-31,App Issue,Critical,24,Yes
T1139,Whitefield,2026-01-31,Rider Shortage,Medium,64,No
T1140,Whitefield,2026-01-31,Rider Shortage,Critical,26,Yes
T1141,Whitefield,2026-02-01,Rider No Show,Low,36,No
T1142,Whitefield,2026-02-01,Delivery Delay,Critical,46,Yes
T1143,Whitefield,2026-02-01,App Issue,High,15,Yes
T1144,Whitefield,2026-02-01,Rider Shortage,Critical,68,Yes
T1145,Whitefield,2026-02-01,Rider Shortage,High,72,Yes
T1146,Whitefield,2026-02-01,Rider Shortage,High,84,Yes
T1147,Whitefield,2026-02-01,Payment Issue,Low,32,No
T1148,Whitefield,2026-02-02,Delivery Delay,Critical,59,Yes
T1149,Whitefield,2026-02-02,Rider Shortage,Critical,37,Yes
T1150,Whitefield,2026-02-02,Rider No Show,Medium,37,No
T1151,Whitefield,2026-02-02,App Issue,High,40,Yes
T1152,Whitefield,2026-02-02,Rider Shortage,Low,21,No
T1153,Whitefield,2026-02-02,Payment Issue,Low,58,No
T1154,Whitefield,2026-02-02,Payment Issue,Critical,41,Yes
T1155,Whitefield,2026-02-03,Delivery Delay,Critical,50,Yes
T1156,Whitefield,2026-02-03,Rider Shortage,High,69,Yes
T1157,Whitefield,2026-02-03,Delivery Delay,Medium,78,No
T1158,Whitefield,2026-02-04,Rider No Show,Low,71,No
T1159,Whitefield,2026-02-04,Rider No Show,Low,83,No
T1160,Whitefield,2026-02-04,App Issue,High,75,Yes
T1161,Whitefield,2026-02-04,Payment Issue,High,16,Yes
T1162,Whitefield,2026-02-05,Delivery Delay,High,52,Yes
T1163,Whitefield,2026-02-05,Delivery Delay,Medium,43,No
T1164,Whitefield,2026-02-05,Payment Issue,Critical,40,Yes
T1165,Whitefield,2026-02-06,Rider Shortage,Critical,81,Yes
T1166,Whitefield,2026-02-06,App Issue,Low,43,No
T1167,Whitefield,2026-02-06,Delivery Delay,Low,48,No
T1168,Whitefield,2026-02-06,Delivery Delay,Critical,55,Yes
T1169,Whitefield,2026-02-07,App Issue,Critical,37,Yes
T1170,Whitefield,2026-02-07,App Issue,High,85,Yes
T1171,Whitefield,2026-02-08,Rider No Show,Critical,72,Yes
T1172,Whitefield,2026-02-08,Delivery Delay,Low,46,No
T1173,Whitefield,2026-02-08,Rider Shortage,High,45,Yes
T1174,Whitefield,2026-02-08,Delivery Delay,High,57,Yes
T1175,Whitefield,2026-02-09,Rider Shortage,High,15,Yes
T1176,Whitefield,2026-02-09,Rider No Show,Low,75,No
T1177,Whitefield,2026-02-10,Rider No Show,Critical,66,Yes
T1178,Whitefield,2026-02-10,Rider Shortage,Critical,20,Yes
T1179,Whitefield,2026-02-10,Delivery Delay,Low,24,No
T1180,Whitefield,2026-02-10,Rider Shortage,Low,85,No
T1181,Whitefield,2026-02-10,App Issue,Medium,44,No
T1182,Whitefield,2026-02-10,App Issue,Medium,35,No
T1183,Whitefield,2026-02-10,Delivery Delay,Medium,74,No
T1184,Whitefield,2026-02-11,App Issue,Medium,88,No
T1185,Whitefield,2026-02-11,Rider Shortage,Low,77,No
T1186,Whitefield,2026-02-12,Delivery Delay,Medium,65,No
T1187,Whitefield,2026-02-12,Rider No Show,Critical,78,Yes
T1188,Whitefield,2026-02-12,Rider Shortage,Low,70,No
T1189,Whitefield,2026-02-13,App Issue,Critical,46,Yes
T1190,Whitefield,2026-02-13,Payment Issue,Medium,29,No
T1191,Whitefield,2026-02-14,Payment Issue,High,41,Yes
T1192,Whitefield,2026-02-14,App Issue,Medium,42,No
T1193,Whitefield,2026-02-14,Delivery Delay,Medium,78,No
T1194,Whitefield,2026-02-14,App Issue,High,73,Yes
T1195,Whitefield,2026-02-14,App Issue,Low,72,No
T1196,Whitefield,2026-02-14,App Issue,High,16,Yes
T1197,Whitefield,2026-02-14,Rider Shortage,High,50,Yes
T1198,Whitefield,2026-02-15,Rider Shortage,Critical,85,Yes
T1199,Whitefield,2026-02-15,Rider No Show,Critical,27,Yes
T1200,Whitefield,2026-02-15,App Issue,Medium,29,No
T1201,Whitefield,2026-02-16,Rider No Show,Critical,74,Yes
T1202,Whitefield,2026-02-16,Delivery Delay,High,36,Yes
T1203,Whitefield,2026-02-17,Rider Shortage,High,89,Yes
T1204,Whitefield,2026-02-17,Delivery Delay,Critical,88,Yes
T1205,Whitefield,2026-02-17,Rider No Show,Low,39,No
T1206,Whitefield,2026-02-18,Delivery Delay,Low,62,No
T1207,Whitefield,2026-02-18,Delivery Delay,Critical,57,Yes
T1208,Whitefield,2026-02-18,Rider No Show,Low,52,No
T1209,Whitefield,2026-02-18,Payment Issue,High,55,Yes
T1210,Whitefield,2026-02-18,Rider No Show,Low,59,No
T1211,Whitefield,2026-02-18,Delivery Delay,Critical,54,Yes
T1212,Whitefield,2026-02-19,Delivery Delay,Low,31,No
T1213,Whitefield,2026-02-19,App Issue,Critical,71,Yes
T1214,Whitefield,2026-02-19,Rider Shortage,Low,16,No
T1215,Whitefield,2026-02-19,Rider No Show,Critical,76,Yes
T1216,Whitefield,2026-02-19,Payment Issue,Medium,23,No
T1217,Whitefield,2026-02-19,Rider No Show,High,82,Yes
T1218,Whitefield,2026-02-19,Rider No Show,High,31,Yes
T1219,Whitefield,2026-02-20,Delivery Delay,Low,64,No
T1220,Whitefield,2026-02-20,Payment Issue,High,54,Yes
T1221,Whitefield,2026-02-20,Payment Issue,Low,72,No
T1222,Whitefield,2026-02-20,Payment Issue,Low,89,No
T1223,Whitefield,2026-02-20,Delivery Delay,Medium,35,No
T1224,Whitefield,2026-02-20,Rider Shortage,Medium,32,No
T1225,Whitefield,2026-02-21,Delivery Delay,Medium,38,No
T1226,Whitefield,2026-02-21,Delivery Delay,Medium,88,No
T1227,Whitefield,2026-02-21,Rider No Show,High,31,Yes
T1228,Whitefield,2026-02-21,Rider No Show,Critical,32,Yes
T1229,Whitefield,2026-02-21,Delivery Delay,Low,56,No
T1230,Whitefield,2026-02-21,Rider No Show,Critical,59,Yes
T1231,Whitefield,2026-02-22,App Issue,Critical,31,Yes
T1232,Whitefield,2026-02-22,Delivery Delay,High,87,Yes
T1233,Whitefield,2026-02-22,Rider No Show,Critical,28,Yes
T1234,Whitefield,2026-02-23,Payment Issue,Critical,43,Yes
T1235,Whitefield,2026-02-23,Delivery Delay,High,18,Yes
T1236,Whitefield,2026-02-24,Rider No Show,Medium,34,No
T1237,Whitefield,2026-02-24,App Issue,Low,61,No
T1238,Whitefield,2026-02-24,App Issue,Low,23,No
T1239,Whitefield,2026-02-25,Rider No Show,High,41,Yes
T1240,Whitefield,2026-02-25,Delivery Delay,Medium,29,No
T1241,Whitefield,2026-02-25,Rider No Show,Low,33,No
T1242,Whitefield,2026-02-25,Payment Issue,High,66,Yes
T1243,Whitefield,2026-02-25,App Issue,Medium,40,No
T1244,Whitefield,2026-02-25,Payment Issue,Medium,40,No
T1245,Whitefield,2026-02-26,Payment Issue,Low,60,No
T1246,Whitefield,2026-02-26,App Issue,Low,63,No
T1247,Whitefield,2026-02-26,Rider Shortage,Critical,67,Yes
T1248,Whitefield,2026-02-27,Rider No Show,Low,80,No
T1249,Whitefield,2026-02-27,Payment Issue,Low,56,No
T1250,Whitefield,2026-02-27,App Issue,High,33,Yes
T1251,Whitefield,2026-02-27,Delivery Delay,High,31,Yes
T1252,Whitefield,2026-02-28,Delivery Delay,High,47,Yes
T1253,Whitefield,2026-02-28,App Issue,High,63,Yes
T1254,Whitefield,2026-02-28,App Issue,Medium,70,No
T1255,Whitefield,2026-02-28,Payment Issue,Critical,77,Yes
T1256,Whitefield,2026-02-28,Payment Issue,Critical,17,Yes
T1257,Whitefield,2026-03-01,Delivery Delay,Medium,63,No
T1258,Whitefield,2026-03-01,Rider No Show,Critical,69,Yes
T1259,Whitefield,2026-03-01,App Issue,Low,40,No
T1260,Whitefield,2026-03-01,App Issue,High,86,Yes
T1261,Whitefield,2026-03-02,Rider No Show,Critical,21,Yes
T1262,Whitefield,2026-03-02,Delivery Delay,High,60,Yes
T1263,Whitefield,2026-03-02,Payment Issue,Medium,60,No
T1264,Whitefield,2026-03-02,Payment Issue,Medium,30,No
T1265,Whitefield,2026-03-02,Rider No Show,Low,38,No
T1266,Whitefield,2026-03-02,Delivery Delay,High,75,Yes
T1267,Whitefield,2026-03-02,Payment Issue,Critical,68,Yes
T1268,Whitefield,2026-03-02,Payment Issue,Low,76,No
T1269,Whitefield,2026-03-03,Delivery Delay,High,39,Yes
T1270,Whitefield,2026-03-03,Payment Issue,Medium,24,No
T1271,Whitefield,2026-03-03,Payment Issue,Medium,30,No
T1272,Whitefield,2026-03-03,Payment Issue,Medium,72,No
T1273,Whitefield,2026-03-03,App Issue,High,86,Yes
T1274,Whitefield,2026-03-04,App Issue,High,20,Yes
T1275,Whitefield,2026-03-04,Rider No Show,Critical,30,Yes
T1276,Whitefield,2026-03-04,Delivery Delay,Critical,34,Yes
T1277,Whitefield,2026-03-04,Payment Issue,Low,85,No
T1278,Whitefield,2026-03-04,App Issue,Medium,57,No
T1279,Whitefield,2026-03-04,App Issue,Critical,40,Yes
T1280,Whitefield,2026-03-04,Delivery Delay,High,85,Yes
T1281,Whitefield,2026-03-04,Delivery Delay,High,47,Yes
T1282,Whitefield,2026-03-04,Delivery Delay,High,40,Yes
T1283,Whitefield,2026-03-04,App Issue,Medium,59,No
T1284,Whitefield,2026-03-04,Rider No Show,High,77,Yes
T1285,Whitefield,2026-03-05,Payment Issue,Low,40,No
T1286,Whitefield,2026-03-05,Rider Shortage,Critical,89,Yes
T1287,Whitefield,2026-03-05,Delivery Delay,High,16,Yes
T1288,Whitefield,2026-03-05,Rider Shortage,High,28,Yes
T1289,Whitefield,2026-03-05,App Issue,Medium,44,No
T1290,Whitefield,2026-03-05,Delivery Delay,Low,63,No
T1291,Whitefield,2026-03-05,Delivery Delay,High,26,Yes
T1292,Whitefield,2026-03-06,Rider Shortage,High,27,Yes
T1293,Whitefield,2026-03-06,Delivery Delay,High,40,Yes
T1294,Whitefield,2026-03-06,App Issue,Critical,35,Yes
T1295,Whitefield,2026-03-06,Payment Issue,Medium,42,No
T1296,Whitefield,2026-03-06,App Issue,Low,62,No
T1297,Whitefield,2026-03-06,Payment Issue,High,54,Yes
T1298,Whitefield,2026-03-07,App Issue,Low,87,No
T1299,Whitefield,2026-03-07,Delivery Delay,High,37,Yes
T1300,Whitefield,2026-03-07,Delivery Delay,High,62,Yes
T1301,Whitefield,2026-03-07,Rider Shortage,High,16,Yes
T1302,Whitefield,2026-03-07,Delivery Delay,Low,34,No
T1303,Whitefield,2026-03-07,Rider No Show,High,73,Yes
T1304,Whitefield,2026-03-07,Delivery Delay,Low,60,No
T1305,Whitefield,2026-03-08,Delivery Delay,Medium,26,No
T1306,Whitefield,2026-03-08,Delivery Delay,Medium,54,No
T1307,Whitefield,2026-03-08,Rider No Show,Critical,80,Yes
T1308,Whitefield,2026-03-08,App Issue,Low,30,No
T1309,Whitefield,2026-03-08,Delivery Delay,High,48,Yes
T1310,Whitefield,2026-03-08,Payment Issue,Medium,58,No
T1311,Whitefield,2026-03-08,Rider Shortage,High,20,Yes
T1312,Whitefield,2026-03-08,Rider Shortage,Medium,78,No
T1313,Whitefield,2026-03-08,Delivery Delay,High,36,Yes
T1314,Whitefield,2026-03-09,Payment Issue,Critical,65,Yes
T1315,Whitefield,2026-03-09,App Issue,Low,85,No
T1316,Whitefield,2026-03-09,Rider Shortage,Low,62,No
T1317,Whitefield,2026-03-09,Payment Issue,Medium,33,No
T1318,Whitefield,2026-03-09,Rider No Show,Low,20,No
T1319,Whitefield,2026-03-09,App Issue,Medium,41,No
T1320,Whitefield,2026-03-09,Delivery Delay,High,67,Yes
T1321,Whitefield,2026-03-09,Rider No Show,Low,62,No
T1322,Whitefield,2026-03-10,App Issue,Critical,25,Yes
T1323,Whitefield,2026-03-10,Rider No Show,Medium,29,No
T1324,Whitefield,2026-03-10,App Issue,Critical,78,Yes
T1325,Whitefield,2026-03-10,Rider No Show,Medium,17,No
T1326,Whitefield,2026-03-10,App Issue,Critical,83,Yes
T1327,Whitefield,2026-03-10,Payment Issue,Low,37,No
T1328,Whitefield,2026-03-10,App Issue,Critical,67,Yes
T1329,Whitefield,2026-03-11,Rider Shortage,High,29,Yes
T1330,Whitefield,2026-03-11,Payment Issue,Medium,17,No
T1331,Whitefield,2026-03-11,Rider Shortage,Medium,84,No
T1332,Whitefield,2026-03-11,App Issue,High,31,Yes
T1333,Whitefield,2026-03-11,Payment Issue,Low,40,No
T1334,Whitefield,2026-03-11,Delivery Delay,Critical,35,Yes
T1335,Whitefield,2026-03-11,Delivery Delay,High,86,Yes
T1336,Whitefield,2026-03-11,Rider No Show,Medium,35,No
T1337,Whitefield,2026-03-11,Payment Issue,Critical,25,Yes
T1338,Whitefield,2026-03-12,Payment Issue,Medium,49,No
T1339,Whitefield,2026-03-12,Delivery Delay,Medium,28,No
T1340,Whitefield,2026-03-12,Delivery Delay,Medium,28,No
T1341,Whitefield,2026-03-12,Rider Shortage,High,24,Yes
T1342,Whitefield,2026-03-12,Rider No Show,Medium,26,No
T1343,Whitefield,2026-03-12,Delivery Delay,Low,52,No
T1344,Whitefield,2026-03-12,App Issue,High,48,Yes
T1345,Whitefield,2026-03-12,App Issue,Low,55,No
T1346,Whitefield,2026-03-12,Rider No Show,High,24,Yes
T1347,Whitefield,2026-03-12,App Issue,Critical,31,Yes
T1348,Whitefield,2026-03-12,Delivery Delay,High,31,Yes
T1349,Whitefield,2026-03-13,Payment Issue,High,15,Yes
T1350,Whitefield,2026-03-13,App Issue,Critical,26,Yes
T1351,Whitefield,2026-03-13,Delivery Delay,Low,18,No
T1352,Whitefield,2026-03-13,Rider Shortage,Critical,56,Yes
T1353,Whitefield,2026-03-13,Delivery Delay,Low,27,No
T1354,Whitefield,2026-03-13,Payment Issue,Medium,18,No
T1355,Whitefield,2026-03-13,Payment Issue,Low,83,No
T1356,Whitefield,2026-03-13,Rider No Show,High,33,Yes
T1357,Whitefield,2026-03-14,Payment Issue,Critical,88,Yes
T1358,Whitefield,2026-03-14,App Issue,Low,20,No
T1359,Whitefield,2026-03-14,Rider Shortage,Low,22,No
T1360,Whitefield,2026-03-14,App Issue,Medium,65,No
T1361,Whitefield,2026-03-14,Rider No Show,Low,25,No
T1362,Whitefield,2026-03-14,App Issue,High,77,Yes
T1363,Whitefield,2026-03-15,Rider Shortage,Critical,26,Yes
T1364,Whitefield,2026-03-15,App Issue,Low,87,No
T1365,Whitefield,2026-03-15,Payment Issue,Medium,16,No
T1366,Whitefield,2026-03-15,Rider No Show,High,22,Yes
T1367,Whitefield,2026-03-15,Rider No Show,Low,25,No
T1368,Whitefield,2026-03-15,Payment Issue,High,67,Yes
T1369,Whitefield,2026-03-15,Payment Issue,High,24,Yes
T1370,Whitefield,2026-03-16,App Issue,Low,28,No
T1371,Whitefield,2026-03-16,Delivery Delay,High,68,Yes
T1372,Whitefield,2026-03-16,Rider Shortage,High,35,Yes
T1373,Whitefield,2026-03-16,Rider No Show,Critical,64,Yes
T1374,Whitefield,2026-03-16,Rider Shortage,Medium,53,No
T1375,Whitefield,2026-03-16,Rider Shortage,Low,34,No
T1376,Whitefield,2026-03-16,App Issue,Low,21,No
T1377,Whitefield,2026-03-16,Payment Issue,Medium,23,No
T1378,Whitefield,2026-03-16,Delivery Delay,Critical,15,Yes
T1379,Whitefield,2026-03-17,Payment Issue,Low,52,No
T1380,Whitefield,2026-03-17,Rider No Show,High,75,Yes
T1381,Whitefield,2026-03-17,Delivery Delay,Critical,58,Yes
T1382,Whitefield,2026-03-17,Rider Shortage,Critical,58,Yes
T1383,Whitefield,2026-03-17,Payment Issue,Medium,88,No
T1384,Whitefield,2026-03-17,Delivery Delay,High,76,Yes
T1385,Whitefield,2026-03-17,App Issue,Medium,20,No
T1386,Whitefield,2026-03-18,Rider Shortage,Low,52,No
T1387,Whitefield,2026-03-18,Rider No Show,Medium,38,No
T1388,Whitefield,2026-03-18,Payment Issue,Critical,65,Yes
T1389,Whitefield,2026-03-18,Payment Issue,Medium,24,No
T1390,Whitefield,2026-03-18,App Issue,Low,86,No
T1391,Whitefield,2026-03-18,Payment Issue,Medium,35,No
T1392,Whitefield,2026-03-18,Delivery Delay,Critical,84,Yes
T1393,Whitefield,2026-03-19,Rider No Show,Low,53,No
T1394,Whitefield,2026-03-19,App Issue,High,47,Yes
T1395,Whitefield,2026-03-19,Rider Shortage,Medium,73,No
T1396,Whitefield,2026-03-19,Rider Shortage,High,32,Yes
T1397,Whitefield,2026-03-19,Rider No Show,Medium,70,No
T1398,Whitefield,2026-03-19,Rider Shortage,High,71,Yes
T1399,Whitefield,2026-03-19,Payment Issue,Medium,62,No
T1400,Whitefield,2026-03-19,Rider No Show,High,56,Yes
T1401,Whitefield,2026-03-19,Rider No Show,Medium,41,No
T1402,Whitefield,2026-03-20,Rider Shortage,Critical,66,Yes
T1403,Whitefield,2026-03-20,Rider No Show,Low,56,No
T1404,Whitefield,2026-03-20,Rider Shortage,High,46,Yes
T1405,Whitefield,2026-03-20,Rider Shortage,Critical,40,Yes
T1406,Whitefield,2026-03-20,App Issue,Critical,39,Yes
T1407,Whitefield,2026-03-20,Delivery Delay,High,89,Yes
T1408,Whitefield,2026-03-20,App Issue,Critical,37,Yes
T1409,Whitefield,2026-03-21,Payment Issue,Medium,66,No
T1410,Whitefield,2026-03-21,Rider No Show,High,45,Yes
T1411,Whitefield,2026-03-21,Rider No Show,Critical,78,Yes
T1412,Whitefield,2026-03-21,Payment Issue,Low,85,No
T1413,Whitefield,2026-03-21,Payment Issue,High,47,Yes
T1414,Whitefield,2026-03-21,Delivery Delay,Medium,16,No
T1415,Whitefield,2026-03-22,Payment Issue,Medium,47,No
T1416,Whitefield,2026-03-22,Rider Shortage,Medium,49,No
T1417,Whitefield,2026-03-22,App Issue,Low,65,No
T1418,Whitefield,2026-03-22,Rider No Show,High,32,Yes
T1419,Whitefield,2026-03-22,Payment Issue,Low,86,No
T1420,Whitefield,2026-03-22,App Issue,Medium,44,No
T1421,Whitefield,2026-03-22,Delivery Delay,Medium,58,No
T1422,Whitefield,2026-03-22,Delivery Delay,Medium,67,No
T1423,Whitefield,2026-03-23,Delivery Delay,Medium,66,No
T1424,Whitefield,2026-03-23,Delivery Delay,Low,63,No
T1425,Whitefield,2026-03-23,Delivery Delay,Medium,25,No
T1426,Whitefield,2026-03-23,Payment Issue,Low,80,No
T1427,Whitefield,2026-03-23,Payment Issue,High,72,Yes
T1428,Whitefield,2026-03-23,Rider No Show,Medium,50,No
T1429,Whitefield,2026-03-23,Delivery Delay,Medium,47,No
T1430,Whitefield,2026-03-23,Delivery Delay,Critical,61,Yes
T1431,Whitefield,2026-03-24,Payment Issue,High,82,Yes
T1432,Whitefield,2026-03-24,Rider Shortage,Medium,56,No
T1433,Whitefield,2026-03-24,App Issue,High,33,Yes
